package,week_start,week_end,downloads,captured_at,source_url,interpretation
@openai/codex,2026-06-27,2026-07-03,10644992,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/%40openai%2Fcodex,package retrieval not active users
@openai/codex,2026-07-04,2026-07-10,9627168,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/%40openai%2Fcodex,package retrieval not active users
@openai/codex,2026-07-11,2026-07-17,14216692,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/%40openai%2Fcodex,package retrieval not active users
@openai/codex,2026-07-18,2026-07-24,15226164,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/%40openai%2Fcodex,package retrieval not active users
@anthropic-ai/claude-code,2026-06-27,2026-07-03,10307344,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/%40anthropic-ai%2Fclaude-code,package retrieval not active users
@anthropic-ai/claude-code,2026-07-04,2026-07-10,9140067,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/%40anthropic-ai%2Fclaude-code,package retrieval not active users
@anthropic-ai/claude-code,2026-07-11,2026-07-17,10318467,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/%40anthropic-ai%2Fclaude-code,package retrieval not active users
@anthropic-ai/claude-code,2026-07-18,2026-07-24,10760218,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/%40anthropic-ai%2Fclaude-code,package retrieval not active users
openclaw,2026-06-27,2026-07-03,2727953,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/openclaw,package retrieval not always-on deployments
openclaw,2026-07-04,2026-07-10,2175944,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/openclaw,package retrieval not always-on deployments
openclaw,2026-07-11,2026-07-17,2467368,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/openclaw,package retrieval not always-on deployments
openclaw,2026-07-18,2026-07-24,2715506,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/openclaw,package retrieval not always-on deployments
opencode-ai,2026-06-27,2026-07-03,1648530,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/opencode-ai,package retrieval not active sessions
opencode-ai,2026-07-04,2026-07-10,1558050,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/opencode-ai,package retrieval not active sessions
opencode-ai,2026-07-11,2026-07-17,1904550,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/opencode-ai,package retrieval not active sessions
opencode-ai,2026-07-18,2026-07-24,1770265,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/opencode-ai,package retrieval not active sessions
@openai/agents,2026-06-27,2026-07-03,1112374,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/%40openai%2Fagents,package retrieval not agent applications
@openai/agents,2026-07-04,2026-07-10,1062213,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/%40openai%2Fagents,package retrieval not agent applications
@openai/agents,2026-07-11,2026-07-17,1337921,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/%40openai%2Fagents,package retrieval not agent applications
@openai/agents,2026-07-18,2026-07-24,1461799,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/%40openai%2Fagents,package retrieval not agent applications
@google/gemini-cli,2026-06-27,2026-07-03,409354,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/%40google%2Fgemini-cli,package retrieval not active sessions
@google/gemini-cli,2026-07-04,2026-07-10,456909,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/%40google%2Fgemini-cli,package retrieval not active sessions
@google/gemini-cli,2026-07-11,2026-07-17,427365,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/%40google%2Fgemini-cli,package retrieval not active sessions
@google/gemini-cli,2026-07-18,2026-07-24,567566,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/%40google%2Fgemini-cli,package retrieval not active sessions
n8n,2026-06-27,2026-07-03,82217,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/n8n,package retrieval not self-hosted installations
n8n,2026-07-04,2026-07-10,66739,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/n8n,package retrieval not self-hosted installations
n8n,2026-07-11,2026-07-17,57257,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/n8n,package retrieval not self-hosted installations
n8n,2026-07-18,2026-07-24,100034,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/n8n,package retrieval not self-hosted installations
flowise,2026-06-27,2026-07-03,2349,2026-07-28,https://api.npmjs.org/downloads/point/2026-06-27:2026-07-03/flowise,package retrieval not hosted use
flowise,2026-07-04,2026-07-10,2308,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-04:2026-07-10/flowise,package retrieval not hosted use
flowise,2026-07-11,2026-07-17,2382,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-11:2026-07-17/flowise,package retrieval not hosted use
flowise,2026-07-18,2026-07-24,3018,2026-07-28,https://api.npmjs.org/downloads/point/2026-07-18:2026-07-24/flowise,package retrieval not hosted use
